11/3/2016,Bank of America,547
11/3/2016,Chase,526
11/3/2016,Wells Fargo Bank,346
11/3/2016,American Express,147
11/3/2016,listing below.  There is no,115
11/3/2016,U.S. Bank,97
11/3/2016,Capital One,69
11/3/2016,Citi\u00AE,68
11/3/2016,NAVY FEDERAL CREDIT UNION,67
11/3/2016,PNC BANK,61
11/3/2016,Citibank®,33
11/3/2016,TD Bank,29
11/3/2016,Regions Bank,27
11/3/2016,USAA Federal Savings Bank,21
11/3/2016,SunTrust,19
11/3/2016,Citibank,15
11/3/2016,Elan Financial Services Fidelity,13
11/3/2016,State Employees' Credit Union,11
11/3/2016,KeyBank,11
11/3/2016,COMPASS BANK,9
11/4/2016,Chase,748
11/4/2016,Bank of America,732
11/4/2016,Wells Fargo Bank,364
11/4/2016,American Express,191
11/4/2016,listing below.  There is no,177
11/4/2016,Capital One,107
11/4/2016,U.S. Bank,103
11/4/2016,PNC BANK,94
11/4/2016,Citi\u00AE,90
11/4/2016,NAVY FEDERAL CREDIT UNION,88
11/4/2016,Citibank®,58
11/4/2016,TD Bank,45
11/4/2016,Regions Bank,35
11/4/2016,Citibank,33
11/4/2016,USAA Federal Savings Bank,31
11/4/2016,BRANCH BANKING and TRUST CO,23
11/4/2016,SunTrust,22
11/4/2016,Fifth Third Bank,20
11/4/2016,Elan Financial Services Fidelity,17
11/4/2016,Discover Card,16
11/5/2016,Chase,641
11/5/2016,Bank of America,581
11/5/2016,Wells Fargo Bank,410
11/5/2016,American Express,190
11/5/2016,listing below.  There is no,147
11/5/2016,U.S. Bank,109
11/5/2016,Capital One,107
11/5/2016,PNC BANK,89
11/5/2016,NAVY FEDERAL CREDIT UNION,87
11/5/2016,Citi\u00AE,72
11/5/2016,Citibank®,48
11/5/2016,TD Bank,41
11/5/2016,Regions Bank,31
11/5/2016,SunTrust,28
11/5/2016,USAA Federal Savings Bank,27
11/5/2016,Citibank,23
11/5/2016,Fifth Third Bank,22
11/5/2016,BRANCH BANKING and TRUST CO,21
11/5/2016,KeyBank,13
11/5/2016,Elan Financial Services Fidelity,13
11/6/2016,Chase,553
11/6/2016,Bank of America,461
11/6/2016,Wells Fargo Bank,301
11/6/2016,American Express,160
11/6/2016,listing below.  There is no,107
11/6/2016,Capital One,93
11/6/2016,PNC BANK,67
11/6/2016,U.S. Bank,66
11/6/2016,NAVY FEDERAL CREDIT UNION,61
11/6/2016,Citi\u00AE,58
11/6/2016,Citibank®,41
11/6/2016,USAA Federal Savings Bank,30
11/6/2016,TD Bank,26
11/6/2016,SunTrust,24
11/6/2016,Regions Bank,22
11/6/2016,Citibank,22
11/6/2016,Fifth Third Bank,14
