Date,Net CRU at start of day, Net CRU at end of day, Total add,New user adds, Returning user adds, Total delete, Net change
2017-04-08,1681736,1682993,3458,2559,899,2201,1257
2017-04-09,1682993,1684001,3041,2294,747,2033,1008
2017-04-10,1684000,1684666,2859,2104,755,2193,666
2017-04-11,1684666,1685025,2972,2189,783,2613,359
2017-04-12,1685025,1685892,2929,2118,811,2062,867
2017-04-13,1685892,1686542,3511,2428,1083,2861,650
2017-04-14,1686542,1688386,5147,3623,1524,3303,1844
2017-04-15,1688386,1689870,4289,3165,1124,2805,1484
2017-04-16,1689870,1690563,3187,2336,851,2494,693
2017-04-17,1690563,1691234,3471,2478,993,2800,671
2017-04-18,1691234,1691395,4152,3116,1036,3991,161
2017-04-19,1691395,1695117,11080,8805,2275,7358,3722
2017-04-20,1695117,1703216,12914,10340,2574,4815,8099
2017-04-21,1703167,1713664,14798,11992,2806,4301,10497
2017-04-22,1713664,1723285,13072,10734,2338,3451,9621
2017-04-23,1723285,1729756,9356,7676,1680,2885,6471
2017-04-24,1729756,1735424,8747,7084,1663,3079,5668
2017-04-25,1735424,1740275,7840,6179,1661,2989,4851
2017-04-26,1740275,1744971,7853,6371,1482,3157,4696
2017-04-27,1744971,1749546,7376,5891,1485,2801,4575
2017-04-28,1749546,1754828,8009,6396,1613,2727,5282
2017-04-29,1754828,1759942,7890,6450,1440,2776,5114
2017-04-30,1759942,1764363,6938,5635,1303,2517,4421
2017-05-01,1764363,1766738,5040,3848,1192,2665,2375
2017-05-02,1767932,1771578,6306,5067,1239,2660,3646
2017-05-03,1771578,1775140,6291,5038,1253,2729,3562
2017-05-04,1775140,1779318,6681,5378,1303,2503,4178
2017-05-05,1779318,1784778,8018,6455,1563,2558,5460
2017-05-06,1784778,1789409,7049,5591,1458,2418,4631
2017-05-07,1789409,1793068,5983,4818,1165,2324,3659
2017-05-08,1793068,1796396,5799,4632,1167,2471,3328
