Date,Issuer,Count
2016-12-04,U.S. Bank,89
2016-12-05,Capital One,840
2016-12-05,SunTrust,381
2016-12-05,Bank of America,811
2016-12-05,KeyBank,231
2016-12-05,Chase,545
2016-12-05,Wells Fargo Bank,332
2016-12-05,Citi\u00AE,198
2016-12-05,American Express,181
2016-12-05,Citibank®,150
2016-12-05,Fifth Third Bank,445
2016-12-05,People's United Bank,51
2016-12-05,Associated Bank,84
2016-12-05,U.S. Bank,106
2016-12-05,PNC BANK,69
2016-12-05,Security Service Federal Credit Union,86
2016-12-05,NAVY FEDERAL CREDIT UNION,53
2016-12-05,Citizens Equity First Credit Union,35
2016-12-05,listing below.  There is no,116
2016-12-05,Ally Bank,42
2016-12-05,RBFCU,137
2016-12-06,NAVY FEDERAL CREDIT UNION,70
2016-12-06,U.S. Bank,92
2016-12-06,Citi\u00AE,65
2016-12-06,listing below.  There is no,130
2016-12-06,Bank of America,572
2016-12-06,Wells Fargo Bank,323
2016-12-06,American Express,158
2016-12-06,Capital One,232
2016-12-06,Chase,524
2016-12-06,PNC BANK,77
2016-12-06,Fifth Third Bank,43
2016-12-06,USAA Federal Savings Bank,35
2016-12-06,SunTrust,48
2016-12-06,Associated Bank,14
2016-12-06,Citibank®,45
2016-12-06,KeyBank,38
2016-12-06,RBFCU,19
2016-12-06,Citibank,24
2016-12-06,Regions Bank,21
2016-12-06,TD Bank,32
2016-12-07,Bank of America,553
2016-12-07,Chase,505
2016-12-07,Citi\u00AE,94
2016-12-07,Capital One,238
2016-12-07,U.S. Bank,80
2016-12-07,listing below.  There is no,123
2016-12-07,NAVY FEDERAL CREDIT UNION,69
2016-12-07,Wells Fargo Bank,391
2016-12-07,American Express,161
2016-12-07,PNC BANK,69
2016-12-07,KeyBank,32
2016-12-07,BRANCH BANKING and TRUST CO,16
2016-12-07,SunTrust,63
2016-12-07,TD Bank,33
2016-12-07,Citibank®,45
2016-12-07,Citibank,26
2016-12-07,Fifth Third Bank,48
2016-12-07,Regions Bank,16
2016-12-07,COMPASS BANK,14
2016-12-07,USAA Federal Savings Bank,28
2016-12-08,American Express,152
2016-12-08,Bank of America,501
2016-12-08,PNC BANK,66
2016-12-08,Citi\u00AE,54
2016-12-08,Wells Fargo Bank,363
2016-12-08,listing below.  There is no,136
2016-12-08,U.S. Bank,78
2016-12-08,Capital One,114
2016-12-08,Chase,541
2016-12-08,NAVY FEDERAL CREDIT UNION,66
2016-12-08,BRANCH BANKING and TRUST CO,16
2016-12-08,Elan Financial Services Fidelity,12
2016-12-08,Fifth Third Bank,9
2016-12-08,SunTrust,24
2016-12-08,Citibank®,30
2016-12-08,TD Bank,31
2016-12-08,Regions Bank,28
2016-12-08,COMPASS BANK,11
2016-12-08,USAA Federal Savings Bank,30
2016-12-08,Citibank,21
2016-12-09,NAVY FEDERAL CREDIT UNION,65
2016-12-09,Capital One,95
2016-12-09,Bank of America,567
2016-12-09,Wells Fargo Bank,376
2016-12-09,Chase,493
2016-12-09,American Express,171
2016-12-09,Citi\u00AE,64
2016-12-09,PNC BANK,59
2016-12-09,U.S. Bank,92
2016-12-09,listing below.  There is no,127
2016-12-09,SunTrust,17
2016-12-09,TD Bank,22
2016-12-09,Citibank®,43
2016-12-09,Elan Financial Services Fidelity,10
2016-12-09,BRANCH BANKING and TRUST CO,15
2016-12-09,Fifth Third Bank,17
2016-12-09,USAA Federal Savings Bank,36
2016-12-09,Regions Bank,29
2016-12-09,State Employees' Credit Union,10
2016-12-09,Citibank,25
2016-12-10,U.S. Bank,100
2016-12-10,listing below.  There is no,149
2016-12-10,Capital One,147
2016-12-10,NAVY FEDERAL CREDIT UNION,75
2016-12-10,PNC BANK,95
2016-12-10,Wells Fargo Bank,475
2016-12-10,Bank of America,592
2016-12-10,Chase,678
2016-12-10,Citi\u00AE,82
2016-12-10,American Express,220
2016-12-10,Citibank®,56
2016-12-10,TCF NATIONAL BANK,13
2016-12-10,Elan Financial Services Fidelity,16
2016-12-10,Regions Bank,36
2016-12-10,TD Bank,35
2016-12-10,USAA Federal Savings Bank,39
2016-12-10,Fifth Third Bank,13
2016-12-10,SunTrust,26
2016-12-10,Citibank,31
2016-12-10,BRANCH BANKING and TRUST CO,17
2016-12-11,Chase,543
2016-12-11,American Express,182
2016-12-11,Wells Fargo Bank,322
2016-12-11,Bank of America,517
2016-12-11,PNC BANK,82
2016-12-11,Citi\u00AE,76
2016-12-11,Capital One,132
2016-12-11,U.S. Bank,106
2016-12-11,NAVY FEDERAL CREDIT UNION,83
2016-12-11,listing below.  There is no,150
2016-12-11,SunTrust,24
2016-12-11,Fifth Third Bank,18
2016-12-11,State Employees' Credit Union,18
2016-12-11,USAA Federal Savings Bank,38
2016-12-11,Regions Bank,24
2016-12-11,TCF NATIONAL BANK,19
2016-12-11,Citibank,35
2016-12-11,BRANCH BANKING and TRUST CO,21
2016-12-11,TD Bank,33
2016-12-11,Citibank®,49
2016-12-12,Chase,604
2016-12-12,listing below.  There is no,160
2016-12-12,SunTrust,79
2016-12-12,Bank of America,606
2016-12-12,Capital One,232
2016-12-12,NAVY FEDERAL CREDIT UNION,70
2016-12-12,American Express,197
2016-12-12,Wells Fargo Bank,365
2016-12-12,U.S. Bank,101
2016-12-12,Citi\u00AE,87
2016-12-12,PNC BANK,67
2016-12-12,Citibank,27
2016-12-12,Regions Bank,25
2016-12-12,RBFCU,22
2016-12-12,Citibank®,42
2016-12-12,Fifth Third Bank,52
2016-12-12,USAA Federal Savings Bank,41
2016-12-12,BRANCH BANKING and TRUST CO,27
2016-12-12,KeyBank,38
2016-12-12,TD Bank,34
2016-12-13,Capital One,128
2016-12-13,U.S. Bank,83
2016-12-13,Bank of America,545
2016-12-13,Citi\u00AE,54
2016-12-13,listing below.  There is no,127
2016-12-13,American Express,160
2016-12-13,Wells Fargo Bank,369
2016-12-13,PNC BANK,62
2016-12-13,Chase,581
2016-12-13,NAVY FEDERAL CREDIT UNION,70
2016-12-13,USAA SAVINGS BANK,10
2016-12-13,USAA Federal Savings Bank,38
2016-12-13,SunTrust,23
2016-12-13,Citibank®,41
2016-12-13,KeyBank,10
2016-12-13,TD Bank,41
2016-12-13,Elan Financial Services Fidelity,16
2016-12-13,Citibank,32
2016-12-13,Regions Bank,38
2016-12-13,Fifth Third Bank,13
2016-12-22,Chase,544
2016-12-22,Wells Fargo Bank,402
2016-12-22,Bank of America,548
2016-12-22,American Express,153
2016-12-22,PNC BANK,68
2016-12-22,U.S. Bank,81
2016-12-22,Citi\u00AE,59
2016-12-22,NAVY FEDERAL CREDIT UNION,72
2016-12-22,listing below.  There is no,131
2016-12-22,Capital One,118
2016-12-22,Regions Bank,27
2016-12-22,Citibank,27
2016-12-22,Citibank®,31
2016-12-22,KeyBank,13
2016-12-22,BRANCH BANKING and TRUST CO,20
2016-12-22,USAA Federal Savings Bank,45
2016-12-22,Fifth Third Bank,14
2016-12-22,COMPASS BANK,9
2016-12-22,TD Bank,30
2016-12-22,SunTrust,15
2016-12-23,U.S. Bank,92
2016-12-23,Citi\u00AE,68
2016-12-23,Bank of America,598
2016-12-23,American Express,171
2016-12-23,PNC BANK,80
2016-12-23,Capital One,134
2016-12-23,listing below.  There is no,127
2016-12-23,Chase,590
2016-12-23,NAVY FEDERAL CREDIT UNION,70
2016-12-23,Wells Fargo Bank,485
2016-12-23,KeyBank,12
2016-12-23,BRANCH BANKING and TRUST CO,19
2016-12-23,SunTrust,28
2016-12-23,USAA Federal Savings Bank,39
2016-12-23,TCF NATIONAL BANK,13
2016-12-23,Regions Bank,20
2016-12-23,Elan Financial Services Fidelity,13
2016-12-23,TD Bank,41
2016-12-23,Citibank,24
2016-12-23,Citibank®,30
2016-12-24,Capital One,113
2016-12-24,U.S. Bank,76
2016-12-24,Wells Fargo Bank,382
2016-12-24,Citi\u00AE,79
2016-12-24,Bank of America,508
2016-12-24,NAVY FEDERAL CREDIT UNION,59
2016-12-24,PNC BANK,56
2016-12-24,listing below.  There is no,128
2016-12-24,American Express,152
2016-12-24,Chase,540
2016-12-24,BRANCH BANKING and TRUST CO,12
2016-12-24,SunTrust,20
2016-12-24,Citibank®,39
2016-12-24,Fifth Third Bank,18
2016-12-24,Citibank,25
2016-12-24,State Employees' Credit Union,11
2016-12-24,USAA Federal Savings Bank,41
2016-12-24,Regions Bank,24
2016-12-24,TD Bank,23
2016-12-24,USAA SAVINGS BANK,14
2016-12-25,Capital One,106
2016-12-25,American Express,158
2016-12-25,U.S. Bank,71
2016-12-25,listing below.  There is no,129
2016-12-25,PNC BANK,68
2016-12-25,Bank of America,424
2016-12-25,NAVY FEDERAL CREDIT UNION,74
2016-12-25,Wells Fargo Bank,267
2016-12-25,Citi\u00AE,61
2016-12-25,Chase,554
2016-12-25,TD Bank,27
2016-12-25,MOUNTAIN AMERICA FEDERAL CREDIT ,10
2016-12-25,Citibank,28
2016-12-25,Elan Financial Services Fidelity,12
2016-12-25,Regions Bank,17
2016-12-25,SunTrust,27
2016-12-25,Fifth Third Bank,14
2016-12-25,USAA SAVINGS BANK,11
2016-12-25,USAA Federal Savings Bank,37
2016-12-25,Citibank®,34
2016-12-26,NAVY FEDERAL CREDIT UNION,59
2016-12-26,PNC BANK,77
2016-12-26,Wells Fargo Bank,348
2016-12-26,Chase,519
2016-12-26,Bank of America,489
2016-12-26,listing below.  There is no,153
2016-12-26,U.S. Bank,93
2016-12-26,American Express,161
2016-12-26,Citi\u00AE,66
2016-12-26,Capital One,126
2016-12-26,State Employees' Credit Union,15
2016-12-26,USAA Federal Savings Bank,45
2016-12-26,COMPASS BANK,12
2016-12-26,TD Bank,17
2016-12-26,SunTrust,32
2016-12-26,Fifth Third Bank,17
2016-12-26,BRANCH BANKING and TRUST CO,16
2016-12-26,Citibank®,39
2016-12-26,Regions Bank,27
2016-12-26,Citibank,27
2016-12-27,listing below.  There is no,128
2016-12-27,Elan Financial Services Fidelity,13
2016-12-27,Citi\u00AE,82
2016-12-27,Chase,580
2016-12-27,NAVY FEDERAL CREDIT UNION,59
2016-12-27,PNC BANK,71
2016-12-27,American Express,176
2016-12-27,Bank of America,486
2016-12-27,Wells Fargo Bank,297
2016-12-27,Capital One,109
2016-12-27,Regions Bank,27
2016-12-27,Citibank®,49
2016-12-27,TD Bank,27
2016-12-27,"Chase Bank USA, N.A.",14
2016-12-27,Fifth Third Bank,21
2016-12-27,U.S. Bank,91
2016-12-27,BRANCH BANKING and TRUST CO,14
2016-12-27,USAA Federal Savings Bank,46
2016-12-27,Citibank,33
2016-12-27,SunTrust,27
2016-12-28,NAVY FEDERAL CREDIT UNION,74
2016-12-28,American Express,204
2016-12-28,Capital One,173
2016-12-28,Bank of America,667
2016-12-28,Citi\u00AE,67
2016-12-28,USAA SAVINGS BANK,20
2016-12-28,BRANCH BANKING and TRUST CO,20
2016-12-28,listing below.  There is no,147
2016-12-28,PNC BANK,92
2016-12-28,U.S. Bank,95
2016-12-28,TD Bank,42
2016-12-28,Wells Fargo Bank,558
2016-12-28,USAA Federal Savings Bank,52
2016-12-28,State Employees' Credit Union,16
2016-12-28,Regions Bank,41
2016-12-28,SunTrust,33
2016-12-28,Citibank®,47
2016-12-28,Citibank,34
2016-12-28,Chase,669
2016-12-28,Elan Financial Services Fidelity,20
2016-12-29,NAVY FEDERAL CREDIT UNION,61
2016-12-29,U.S. Bank,100
2016-12-29,PNC BANK,76
2016-12-29,American Express,185
2016-12-29,listing below.  There is no,138
2016-12-29,Wells Fargo Bank,410
2016-12-29,Chase,602
2016-12-29,Bank of America,607
2016-12-29,Citi\u00AE,67
2016-12-29,Capital One,119
2016-12-29,Citibank®,36
2016-12-29,Citibank,31
2016-12-29,Regions Bank,24
2016-12-29,KeyBank,16
2016-12-29,SunTrust,22
2016-12-29,USAA SAVINGS BANK,11
2016-12-29,USAA Federal Savings Bank,44
2016-12-29,Fifth Third Bank,22
2016-12-29,Elan Financial Services Fidelity,12
2016-12-29,TD Bank,41
2016-12-30,NAVY FEDERAL CREDIT UNION,72
2016-12-30,American Express,157
2016-12-30,Bank of America,575
2016-12-30,Capital One,110
2016-12-30,Chase,592
2016-12-30,listing below.  There is no,139
2016-12-30,U.S. Bank,113
2016-12-30,Wells Fargo Bank,458
2016-12-30,Citi\u00AE,57
2016-12-30,PNC BANK,70
2016-12-30,Citibank®,33
2016-12-30,USAA SAVINGS BANK,18
2016-12-30,BRANCH BANKING and TRUST CO,16
2016-12-30,Fifth Third Bank,16
2016-12-30,USAA Federal Savings Bank,46
2016-12-30,Regions Bank,26
2016-12-30,Citibank,30
2016-12-30,State Employees' Credit Union,13
2016-12-30,TD Bank,43
2016-12-30,SunTrust,17
2016-12-31,Citi\u00AE,61
2016-12-31,U.S. Bank,75
2016-12-31,Chase,510
2016-12-31,Capital One,118
2016-12-31,PNC BANK,51
2016-12-31,American Express,153
2016-12-31,listing below.  There is no,137
2016-12-31,Bank of America,450
2016-12-31,Wells Fargo Bank,350
2016-12-31,NAVY FEDERAL CREDIT UNION,74
2016-12-31,USAA SAVINGS BANK,13
2016-12-31,Citibank,32
2016-12-31,Fifth Third Bank,16
2016-12-31,USAA Federal Savings Bank,47
2016-12-31,SunTrust,28
2016-12-31,Elan Financial Services Fidelity,10
2016-12-31,TCF NATIONAL BANK,12
2016-12-31,TD Bank,28
2016-12-31,Citibank®,32
2016-12-31,Regions Bank,28
2017-01-01,PNC BANK,46
2017-01-01,Citi\u00AE,46
2017-01-01,listing below.  There is no,117
2017-01-01,Chase,432
2017-01-01,Wells Fargo Bank,225
2017-01-01,American Express,111
2017-01-01,U.S. Bank,64
2017-01-01,NAVY FEDERAL CREDIT UNION,53
2017-01-01,Capital One,92
2017-01-01,Bank of America,334
2017-01-01,TD Bank,28
2017-01-01,State Employees' Credit Union,11
2017-01-01,Citibank®,34
2017-01-01,USAA Federal Savings Bank,30
2017-01-01,SunTrust,24
2017-01-01,USAA SAVINGS BANK,10
2017-01-01,Citibank,17
2017-01-01,Regions Bank,20
2017-01-01,COMPASS BANK,9
2017-01-01,Fifth Third Bank,13
2017-01-02,Capital One,119
2017-01-02,Citi\u00AE,51
2017-01-02,listing below.  There is no,115
2017-01-02,PNC BANK,57
2017-01-02,NAVY FEDERAL CREDIT UNION,66
2017-01-02,Chase,492
2017-01-02,Bank of America,472
2017-01-02,Wells Fargo Bank,347
2017-01-02,American Express,148
2017-01-02,U.S. Bank,68
2017-01-02,Citibank,27
2017-01-02,TD Bank,32
2017-01-02,Elan Financial Services Fidelity,11
2017-01-02,Regions Bank,34
2017-01-02,SunTrust,24
2017-01-02,Citibank®,22
2017-01-02,BRANCH BANKING and TRUST CO,11
2017-01-02,Fifth Third Bank,15
2017-01-02,USAA SAVINGS BANK,10
2017-01-02,USAA Federal Savings Bank,36
2017-01-03,U.S. Bank,100
2017-01-03,Citi\u00AE,57
2017-01-03,NAVY FEDERAL CREDIT UNION,65
2017-01-03,Capital One,125
2017-01-03,Chase,513
2017-01-03,American Express,173
2017-01-03,Bank of America,499
2017-01-03,PNC BANK,58
2017-01-03,Wells Fargo Bank,290
2017-01-03,listing below.  There is no,143
2017-01-03,KeyBank,10
2017-01-03,USAA SAVINGS BANK,8
2017-01-03,Regions Bank,23
2017-01-03,Citibank®,36
2017-01-03,USAA Federal Savings Bank,51
2017-01-03,BRANCH BANKING and TRUST CO,15
2017-01-03,Citibank,28
2017-01-03,Fifth Third Bank,18
2017-01-03,SunTrust,20
2017-01-03,TD Bank,43
2017-01-04,Citi\u00AE,159
2017-01-04,KeyBank,216
2017-01-04,Capital One,1114
2017-01-04,Chase,553
2017-01-04,American Express,166
2017-01-04,Fifth Third Bank,327
2017-01-04,Wells Fargo Bank,481
2017-01-04,SunTrust,276
2017-01-04,listing below.  There is no,139
2017-01-04,Bank of America,775
2017-01-04,U.S. Bank,89
2017-01-04,Citibank,41
2017-01-04,USAA Federal Savings Bank,48
2017-01-04,RBFCU,99
2017-01-04,Citibank®,106
2017-01-04,Security Service Federal Credit Union,61
2017-01-04,Associated Bank,57
2017-01-04,People's United Bank,54
2017-01-04,PNC BANK,67
2017-01-04,NAVY FEDERAL CREDIT UNION,62
2017-01-05,KeyBank,189
2017-01-05,Citi\u00AE,136
2017-01-05,Fifth Third Bank,302
2017-01-05,listing below.  There is no,129
2017-01-05,American Express,169
2017-01-05,Bank of America,681
2017-01-05,Wells Fargo Bank,403
2017-01-05,SunTrust,261
2017-01-05,Chase,543
2017-01-05,Capital One,1000
2017-01-05,Security Service Federal Credit Union,57
2017-01-05,Citibank®,97
2017-01-05,U.S. Bank,95
2017-01-05,Associated Bank,52
2017-01-05,RBFCU,84
2017-01-05,USAA Federal Savings Bank,52
2017-01-05,People's United Bank,48
2017-01-05,Citibank,35
2017-01-05,NAVY FEDERAL CREDIT UNION,59
2017-01-05,PNC BANK,59
2017-01-06,listing below.  There is no,133
2017-01-06,Citi\u00AE,78
2017-01-06,Fifth Third Bank,73
2017-01-06,Wells Fargo Bank,415
2017-01-06,TD Bank,34
2017-01-06,American Express,147
2017-01-06,NAVY FEDERAL CREDIT UNION,69
2017-01-06,Bank of America,543
2017-01-06,Chase,489
2017-01-06,Capital One,315
2017-01-06,Citibank®,48
2017-01-06,USAA Federal Savings Bank,35
2017-01-06,PNC BANK,68
2017-01-06,KeyBank,61
2017-01-06,RBFCU,17
2017-01-06,SunTrust,55
2017-01-06,Regions Bank,29
2017-01-06,Citibank,24
2017-01-06,Security Service Federal Credit Union,18
2017-01-06,U.S. Bank,99
2017-01-07,Bank of America,421
2017-01-07,PNC BANK,57
2017-01-07,listing below.  There is no,118
2017-01-07,Capital One,115
2017-01-07,Wells Fargo Bank,396
2017-01-07,American Express,124
2017-01-07,Citi\u00AE,66
2017-01-07,U.S. Bank,61
2017-01-07,Chase,517
2017-01-07,NAVY FEDERAL CREDIT UNION,58
2017-01-07,USAA Federal Savings Bank,44
2017-01-07,SunTrust,26
2017-01-07,TD Bank,33
2017-01-07,Citibank®,36
2017-01-07,BRANCH BANKING and TRUST CO,13
2017-01-07,Fifth Third Bank,12
2017-01-07,Citibank,29
2017-01-07,State Employees' Credit Union,11
2017-01-07,Regions Bank,28
2017-01-07,TCF NATIONAL BANK,11
2017-01-08,Capital One,108
2017-01-08,PNC BANK,56
2017-01-08,American Express,155
2017-01-08,Wells Fargo Bank,273
2017-01-08,Citi\u00AE,57
2017-01-08,NAVY FEDERAL CREDIT UNION,52
2017-01-08,listing below.  There is no,125
2017-01-08,U.S. Bank,76
2017-01-08,Bank of America,424
2017-01-08,Chase,484
2017-01-08,BRANCH BANKING and TRUST CO,9
2017-01-08,"Chase Bank USA, N.A.",12
2017-01-08,USAA Federal Savings Bank,34
2017-01-08,Fifth Third Bank,13
2017-01-08,TD Bank,35
2017-01-08,Citibank,19
2017-01-08,SunTrust,20
2017-01-08,Citibank®,36
2017-01-08,State Employees' Credit Union,8
2017-01-08,Regions Bank,15
2017-01-09,Citi\u00AE,76
2017-01-09,Bank of America,490
2017-01-09,NAVY FEDERAL CREDIT UNION,77
2017-01-09,Capital One,289
2017-01-09,American Express,168
2017-01-09,Wells Fargo Bank,375
2017-01-09,Chase,517
2017-01-09,U.S. Bank,79
2017-01-09,SunTrust,72
2017-01-09,listing below.  There is no,123
2017-01-09,Regions Bank,24
2017-01-09,KeyBank,51
2017-01-09,RBFCU,23
2017-01-09,Citibank,26
2017-01-09,Security Service Federal Credit Union,17
2017-01-09,PNC BANK,68
2017-01-09,TD Bank,22
2017-01-09,Citibank®,41
2017-01-09,USAA Federal Savings Bank,33
2017-01-09,Fifth Third Bank,70
2017-01-10,listing below.  There is no,127
2017-01-10,Bank of America,499
2017-01-10,Citi\u00AE,61
2017-01-10,PNC BANK,77
2017-01-10,American Express,171
2017-01-10,Capital One,118
2017-01-10,Wells Fargo Bank,350
2017-01-10,NAVY FEDERAL CREDIT UNION,74
2017-01-10,Chase,578
2017-01-10,U.S. Bank,102
2017-01-10,Fifth Third Bank,26
2017-01-10,Citibank,31
2017-01-10,SunTrust,27
2017-01-10,TD Bank,30
2017-01-10,USAA Federal Savings Bank,39
2017-01-10,Regions Bank,26
2017-01-10,BRANCH BANKING and TRUST CO,18
2017-01-10,America First Credit Union,9
2017-01-10,"Chase Bank USA, N.A.",14
2017-01-10,Citibank®,36
2017-01-11,Bank of America,531
2017-01-11,listing below.  There is no,140
2017-01-11,Wells Fargo Bank,480
2017-01-11,U.S. Bank,97
2017-01-11,Chase,549
2017-01-11,Citi\u00AE,59
2017-01-11,PNC BANK,58
2017-01-11,American Express,181
2017-01-11,Capital One,126
2017-01-11,NAVY FEDERAL CREDIT UNION,69
2017-01-11,Citibank,36
2017-01-11,USAA SAVINGS BANK,13
2017-01-11,BRANCH BANKING and TRUST CO,14
2017-01-11,Regions Bank,30
2017-01-11,Elan Financial Services Fidelity,17
2017-01-11,Fifth Third Bank,18
2017-01-11,USAA Federal Savings Bank,38
2017-01-11,SunTrust,27
2017-01-11,Citibank®,37
2017-01-11,TD Bank,23
2017-01-12,Bank of America,514
2017-01-12,American Express,168
2017-01-12,Wells Fargo Bank,354
2017-01-12,Chase,485
2017-01-12,listing below.  There is no,125
2017-01-12,PNC BANK,67
2017-01-12,Citi\u00AE,49
2017-01-12,U.S. Bank,66
2017-01-12,Capital One,109
2017-01-12,NAVY FEDERAL CREDIT UNION,71
2017-01-12,Elan Financial Services Fidelity,11
2017-01-12,America First Credit Union,11
2017-01-12,USAA Federal Savings Bank,41
2017-01-12,Fifth Third Bank,22
2017-01-12,TD Bank,33
2017-01-12,Citibank®,48
2017-01-12,Regions Bank,25
2017-01-12,State Employees' Credit Union,10
2017-01-12,Citibank,38
2017-01-12,SunTrust,17
2017-01-13,Chase,511
2017-01-13,Wells Fargo Bank,291
2017-01-13,NAVY FEDERAL CREDIT UNION,73
2017-01-13,U.S. Bank,71
2017-01-13,listing below.  There is no,143
2017-01-13,PNC BANK,65
2017-01-13,Capital One,127
2017-01-13,American Express,162
2017-01-13,Bank of America,514
2017-01-13,Citi\u00AE,59
2017-01-13,Fifth Third Bank,19
2017-01-13,"Chase Bank USA, N.A.",15
2017-01-13,TD Bank,24
2017-01-13,USAA Federal Savings Bank,42
2017-01-13,State Employees' Credit Union,12
2017-01-13,Regions Bank,23
2017-01-13,BRANCH BANKING and TRUST CO,13
2017-01-13,Citibank,33
2017-01-13,SunTrust,19
2017-01-13,Citibank®,35
2017-01-14,Wells Fargo Bank,424
2017-01-14,U.S. Bank,81
2017-01-14,Chase,516
2017-01-14,Capital One,113
2017-01-14,listing below.  There is no,144
2017-01-14,NAVY FEDERAL CREDIT UNION,64
2017-01-14,American Express,141
2017-01-14,Bank of America,455
2017-01-14,PNC BANK,58
2017-01-14,Citi\u00AE,59
2017-01-14,Citibank,30
2017-01-14,BRANCH BANKING and TRUST CO,13
2017-01-14,TD Bank,27
2017-01-14,Citibank®,39
2017-01-14,USAA Federal Savings Bank,31
2017-01-14,Fifth Third Bank,10
2017-01-14,"Chase Bank USA, N.A.",11
2017-01-14,SunTrust,13
2017-01-14,USAA SAVINGS BANK,12
2017-01-14,Regions Bank,29
2017-01-15,Chase,444
2017-01-15,Bank of America,383
2017-01-15,PNC BANK,57
2017-01-15,Capital One,112
2017-01-15,Citi\u00AE,57
2017-01-15,NAVY FEDERAL CREDIT UNION,61
2017-01-15,U.S. Bank,54
2017-01-15,American Express,140
2017-01-15,listing below.  There is no,131
2017-01-15,Wells Fargo Bank,220
2017-01-15,SunTrust,17
2017-01-15,TD Bank,23
2017-01-15,Citibank,27
2017-01-15,USAA SAVINGS BANK,9
2017-01-15,Fifth Third Bank,10
2017-01-15,BRANCH BANKING and TRUST CO,13
2017-01-15,USAA Federal Savings Bank,42
2017-01-15,KeyBank,11
2017-01-15,Citibank®,24
2017-01-15,Regions Bank,28
2017-01-16,Wells Fargo Bank,324
2017-01-16,Citi\u00AE,72
2017-01-16,U.S. Bank,79
2017-01-16,American Express,134
2017-01-16,Chase,474
2017-01-16,listing below.  There is no,131
2017-01-16,NAVY FEDERAL CREDIT UNION,73
2017-01-16,Capital One,108
2017-01-16,Bank of America,447
2017-01-16,PNC BANK,66
2017-01-16,Regions Bank,28
2017-01-16,State Employees' Credit Union,10
2017-01-16,Citibank,33
2017-01-16,Elan Financial Services Fidelity,14
2017-01-16,USAA Federal Savings Bank,41
2017-01-16,SunTrust,20
2017-01-16,TD Bank,24
2017-01-16,Citibank®,35
2017-01-16,Fifth Third Bank,17
2017-01-16,"Chase Bank USA, N.A.",11
2017-01-17,SunTrust,136
2017-01-17,KeyBank,84
2017-01-17,Citi\u00AE,107
2017-01-17,Fifth Third Bank,158
2017-01-17,Wells Fargo Bank,282
2017-01-17,Chase,543
2017-01-17,Capital One,504
2017-01-17,American Express,198
2017-01-17,listing below.  There is no,132
2017-01-17,Bank of America,633
2017-01-17,RBFCU,38
2017-01-17,Citibank®,70
2017-01-17,Associated Bank,27
2017-01-17,NAVY FEDERAL CREDIT UNION,83
2017-01-17,PNC BANK,62
2017-01-17,Citibank,39
2017-01-17,USAA Federal Savings Bank,46
2017-01-17,U.S. Bank,98
2017-01-17,Security Service Federal Credit Union,28
2017-01-17,TD Bank,35
2017-01-18,American Express,148
2017-01-18,PNC BANK,68
2017-01-18,Citi\u00AE,46
2017-01-18,U.S. Bank,79
2017-01-18,NAVY FEDERAL CREDIT UNION,71
2017-01-18,Capital One,114
2017-01-18,Wells Fargo Bank,386
2017-01-18,Chase,468
2017-01-18,USAA Federal Savings Bank,41
2017-01-18,listing below.  There is no,113
2017-01-18,BRANCH BANKING and TRUST CO,14
2017-01-18,Regions Bank,23
2017-01-18,Fifth Third Bank,14
2017-01-18,Bank of America,538
2017-01-18,SunTrust,23
2017-01-18,COMPASS BANK,12
2017-01-18,Citibank®,42
2017-01-18,Elan Financial Services Fidelity,19
2017-01-18,TD Bank,32
2017-01-18,Citibank,24
2017-01-19,Capital One,514
2017-01-19,listing below.  There is no,133
2017-01-19,U.S. Bank,87
2017-01-19,Chase,504
2017-01-19,RBFCU,47
2017-01-19,Wells Fargo Bank,440
2017-01-19,Fifth Third Bank,158
2017-01-19,Citi\u00AE,111
2017-01-19,SunTrust,139
2017-01-19,American Express,148
2017-01-19,KeyBank,59
2017-01-19,Bank of America,595
2017-01-19,People's United Bank,24
2017-01-19,Citibank,31
2017-01-19,PNC BANK,56
2017-01-19,NAVY FEDERAL CREDIT UNION,69
2017-01-19,USAA Federal Savings Bank,44
2017-01-19,Regions Bank,28
2017-01-19,TD Bank,26
2017-01-19,Citibank®,61
2017-01-20,Capital One,107
2017-01-20,Wells Fargo Bank,393
2017-01-20,American Express,138
2017-01-20,USAA Federal Savings Bank,48
2017-01-20,Chase,487
2017-01-20,Bank of America,498
2017-01-20,PNC BANK,49
2017-01-20,U.S. Bank,87
2017-01-20,NAVY FEDERAL CREDIT UNION,54
2017-01-20,listing below.  There is no,138
2017-01-20,TD Bank,32
2017-01-20,BRANCH BANKING and TRUST CO,13
2017-01-20,Fifth Third Bank,13
2017-01-20,State Employees' Credit Union,15
2017-01-20,SunTrust,26
2017-01-20,USAA SAVINGS BANK,11
2017-01-20,Citi\u00AE,47
2017-01-20,Citibank®,33
2017-01-20,Regions Bank,35
2017-01-20,Citibank,29
2017-01-21,American Express,170
2017-01-21,listing below.  There is no,157
2017-01-21,Chase,530
2017-01-21,Bank of America,530
2017-01-21,U.S. Bank,82
2017-01-21,Capital One,139
2017-01-21,NAVY FEDERAL CREDIT UNION,58
2017-01-21,Citi\u00AE,62
2017-01-21,Wells Fargo Bank,346
2017-01-21,PNC BANK,88
2017-01-21,SunTrust,21
2017-01-21,USAA Federal Savings Bank,49
2017-01-21,Citibank,32
2017-01-21,BRANCH BANKING and TRUST CO,14
